TARGET	OBESERVATIONS	MIN AA	MAX AA	SETTING	ARM	MEAN FLUX	STD FLUX	INTERSTELLAR V	MOLECULE 	PEAK WAVE	PEAK FLUX
HD57061	HD57061_w564_redl_20141010_O11	4969	5043	564	redl	606.7527299	0.04985740984	0		0	0
HD57061	HD57061_w564_redl_20141010_O5	4736	4806	564	redl	953.9195128	0.8320560816	0		0	0
HD57061	HD57061_w564_redl_20141010_O9	4889	4961	564	redl	650.0883313	0.09120163088	0		0	0
HD57061	HD57061_w564_redl_20141010_O8	4850	4922	564	redl	668.0477253	0.1525202226	0		0	0
HD57061	HD57061_w564_redl_20141010_O4	4700	4769	564	redl	1478.10681	3.972865979	0		0	0
HD57061	HD57061_w564_redl_20141010_O10	4929	5002	564	redl	628.7054261	0.06075936195	0		0	0
HD57061	HD57061_w564_redl_20141010_O21	5412	5493	564	redl	515.0837021	0.03119373228	0		0	0
HD57061	HD57061_w564_redl_20141010_O17	5226	5303	564	redl	555.3409674	0.03818284712	0		0	0
HD57061	HD57061_w564_redl_20141010_O3	4664	4732	564	redl	2663.465095	6.149319836	0		0	0
HD57061	HD57061_w564_redl_20141010_O2	4628	4696	564	redl	5458.382558	5.187067721	0		0	0
HD57061	HD57061_w564_redl_20141010_O16	5181	5258	564	redl	562.0050341	0.03747420619	0		0	0
HD57061	HD57061_w564_redl_20141010_O20	5364	5444	564	redl	532.9250103	0.0346614908	0		0	0
HD57061	HD57061_w564_redl_20141010_O19	5317	5396	564	redl	547.3127295	0.03326115221	0		0	0
HD57061	HD57061_w564_redl_20141010_O23	5510	5593	564	redl	464.9038241	0.011847676	0		0	0
HD57061	HD57061_w564_redl_20141010_O1	4593	4661	564	redl	16209.98265	4.565718184	0		0	0
HD57061	HD57061_w564_redl_20141010_O15	5137	5214	564	redl	571.2256152	0.03739779192	0		0	0
HD57061	HD57061_w564_redl_20141010_O14	5094	5170	564	redl	580.7096178	0.04097523548	0		0	0
HD57061	HD57061_w564_redl_20141010_O22	5461	5542	564	redl	491.9801967	0.01254307609	0		0	0
HD57061	HD57061_w564_redl_20141010_O18	5271	5350	564	redl	551.6167425	0.0379342575	0		0	0
HD57061	HD57061_w564_redl_20141010_O7	4812	4883	564	redl	716.9869294	0.2425945715	0		0	0
HD57061	HD57061_w564_redl_20141010_O13	5052	5127	564	redl	587.8489421	0.04537976189	0		0	0
HD57061	HD57061_w564_redl_20141010_O24	5568	5644	564	redl	437.0862929	0.02048628368	0		0	0
HD57061	HD57061_w564_redl_20141010_O12	5010	5084	564	redl	592.7665693	0.05295935641	0		0	0
HD57061	HD57061_w564_redl_20141010_O6	4774	4844	564	redl	816.9241468	0.4462802051	0		0	0
HD57061	HD57061_w564_redu_20141010_O1	5665	5749	564	redu	378.6489233	0.1327174807	0		0	0
HD57061	HD57061_w564_redu_20141010_O16	6592	6686	564	redu	461.9126518	0.01646671301	0		0	0
HD57061	HD57061_w564_redu_20141010_O6	5942	6031	564	redu	435.0444035	0.0156916113	0	C70	0	0
HD57061	HD57061_w564_redu_20141010_O11	6248	6342	564	redu	447.9832586	0.0484411066	0	C70	0	0
HD57061	HD57061_w564_redu_20141010_O10	6184	6277	564	redu	428.7505662	0.02661456039	0	C70	0	0
HD57061	HD57061_w564_redu_20141010_O7	6001	6091	564	redu	425.7545121	0.006121966586	0	C70	0	0
HD57061	HD57061_w564_redu_20141010_O4	5828	5915	564	redu	406.3653617	0.0835135836	0	C60	0	0
HD57061	HD57061_w564_redu_20141010_O8	6061	6152	564	redu	417.1689309	0.008318128478	0	C70	0	0
HD57061	HD57061_w564_redu_20141010_O13	6380	6475	564	redu	490.2136674	0.008619040126	0	C70	0	0
HD57061	HD57061_w564_redu_20141010_O12	6313	6408	564	redu	478.0803466	0.02407902533	0	C70	0	0
HD57061	HD57061_w564_redu_20141010_O9	6122	6214	564	redu	416.6674189	0.01533896001	0	C70	0	0
HD57061	HD57061_w564_redu_20141010_O5	5885	5973	564	redu	429.2744014	0.06817236413	0	C70	0	0
HD57061	HD57061_w564_redu_20141010_O15	6517	6615	564	redu	465.1551166	0.03659349486	0	C70	0	0
HD57061	HD57061_w564_redu_20141010_O2	5718	5804	564	redu	378.8560676	0.02456039468	0	C70	0	0
HD57061	HD57061_w564_redu_20141010_O3	5773	5859	564	redu	390.390463	0.05136734509	0	C70	0	0
HD57061	HD57061_w564_redu_20141010_O14	6447	6544	564	redu	483.3814452	0.02212206734	0	C70	0	0
HD57061	HD57061_w860_redl_20141010_O1	6662	6760	860	redl	157217.6279	10.36166074	0	C70	0	0
HD57061	HD57061_w860_redl_20141010_O17	8079	8202	860	redl	4430.798664	0.1308125994	0	C70	0	0
HD57061	HD57061_w860_redl_20141010_O20	8418	8544	860	redl	3729.62601	0.03468425299	0	C70	0	0
HD57061	HD57061_w860_redl_20141010_O16	7973	8094	860	redl	4995.966545	0.03645628696	0	C70p	0	0
HD57061	HD57061_w860_redl_20141010_O7	7130	7237	860	redl	12625.02594	0.4045217845	0	C70p	0	0
HD57061	HD57061_w860_redl_20141010_O11	7481	7595	860	redl	7632.006212	0.05695633904	0	C70p	0	0
HD57061	HD57061_w860_redl_20141010_O10	7390	7502	860	redl	8469.57204	0.05258992948	0	C70p	0	0
HD57061	HD57061_w860_redl_20141010_O6	7047	7153	860	redl	17019.43473	0.7310416672	0	C70p	0	0
HD57061	HD57061_w860_redl_20141010_O9	7301	7412	860	redl	9419.8072	0.1216250689	0	C70p	0	0
HD57061	HD57061_w860_redl_20141010_O13	7670	7787	860	redl	6342.168823	0.06843772497	0	C70p	0	0
HD57061	HD57061_w860_redl_20141010_O5	6966	7071	860	redl	23891.74104	1.11744648	0	C70p	0	0
HD57061	HD57061_w860_redl_20141010_O4	6887	6991	860	redl	53945.98184	3.783047291	0	C70p	0	0
HD57061	HD57061_w860_redl_20141010_O12	7575	7690	860	redl	5190.039064	0.4368846024	0	C70p	0	0
HD57061	HD57061_w860_redl_20141010_O8	7214	7323	860	redl	10498.68229	0.2517503205	0	C70p	0	0
HD57061	HD57061_w860_redl_20141010_O15	7869	7989	860	redl	5415.98627	0.03856189231	0	C70p	0	0
HD57061	HD57061_w860_redl_20141010_O3	6810	6912	860	redl	677560.3019	14.38813081	0	C70p	0	0
HD57061	HD57061_w860_redl_20141010_O19	8300	8427	860	redl	3900.200662	0.06400840967	0	C70p	0	0
HD57061	HD57061_w860_redl_20141010_O18	8188	8313	860	redl	4081.418114	0.138288779	0	C70p	0	0
HD57061	HD57061_w860_redl_20141010_O2	6736	6835	860	redl	514748.005	14.84437426	0	C70p	0	0
HD57061	HD57061_w860_redl_20141010_O14	7769	7887	860	redl	5915.883191	0.03368663664	0	C70p	0	0
HD66811	HD66811_w564_redl_20141010_O3	4664	4732	564	redl	2420.488542	5.572471786	0		0	0
HD66811	HD66811_w564_redl_20141010_O15	5137	5213	564	redl	495.2072921	0.03501237135	0		0	0
HD66811	HD66811_w564_redl_20141010_O23	5510	5593	564	redl	394.6281564	0.01161790605	0		0	0
HD66811	HD66811_w564_redl_20141010_O19	5317	5396	564	redl	471.2985287	0.03413559058	0		0	0
HD66811	HD66811_w564_redl_20141010_O18	5271	5349	564	redl	476.6775012	0.04035417978	0		0	0
HD66811	HD66811_w564_redl_20141010_O22	5461	5542	564	redl	419.6500834	0.01247379436	0		0	0
HD66811	HD66811_w564_redl_20141010_O14	5094	5170	564	redl	507.5570122	0.04579029479	0		0	0
HD66811	HD66811_w564_redl_20141010_O2	4628	4696	564	redl	5983.743508	5.235088438	0		0	0
HD66811	HD66811_w564_redl_20141010_O9	4889	4961	564	redl	579.6902843	0.08583361626	0		0	0
HD66811	HD66811_w564_redl_20141010_O5	4736	4806	564	redl	848.8338795	0.837144112	0		0	0
HD66811	HD66811_w564_redl_20141010_O13	5052	5127	564	redl	513.9733783	0.04842886871	0		0	0
HD66811	HD66811_w564_redl_20141010_O12	5010	5084	564	redl	521.5514598	0.05055029055	0		0	0
HD66811	HD66811_w564_redl_20141010_O4	4700	4769	564	redl	1349.501589	4.1561032	0		0	0
HD66811	HD66811_w564_redl_20141010_O8	4850	4921	564	redl	602.2990699	0.1513421592	0		0	0
HD66811	HD66811_w564_redl_20141010_O24	5567	5644	564	redl	371.0607035	0.00907707969	0		0	0
HD66811	HD66811_w564_redl_20141010_O11	4969	5042	564	redl	534.2297853	0.05054530882	0		0	0
HD66811	HD66811_w564_redl_20141010_O7	4811	4882	564	redl	645.8565272	0.241967921	0		0	0
HD66811	HD66811_w564_redl_20141010_O6	4774	4844	564	redl	726.7715166	0.4496677635	0		0	0
